source,target,interaction_name_2,pathway_name,pair_key,prob_mild,prob_severe,pval_mild,pval_severe,prob_delta_severe_minus_mild,severe_specific_or_enhanced
Fibro-NPCs,Hom/Reg-like NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A1 - SDC4|COLLAGEN,0.002333719707510823,0.004503042926460353,0,0,0.0021693232189495303,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,ECM/Adh-NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,6.933295912490728e-4,0.002821279116574582,0,0,0.0021279495253255093,TRUE
Fibro-NPCs,Hom-NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-NPCs|Hom-NPCs|COL1A1 - SDC4|COLLAGEN,0.0010288947938847878,0.0028006547772715584,0,0,0.0017717599833867706,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,ECM/Adh-NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,0.0011805446277867017,0.0029310331961195915,0,0,0.0017504885683328898,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A2 - SDC4|COLLAGEN,0.0027299490833060805,0.004467186587161526,0,0,0.0017372375038554452,TRUE
ECM/Adh-NPCs,Fibro-NPCs,FN1 - (ITGAV+ITGB1),FN1,ECM/Adh-NPCs|Fibro-NPCs|FN1 - (ITGAV+ITGB1)|FN1,0,0.0017176685663074012,NA,0,0.0017176685663074012,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,CD99 - CD99,CD99,Fibro-reg NPCs|Fibro-reg NPCs|CD99 - CD99|CD99,3.5832752495687205e-4,0.0020281772905039776,0,0,0.0016698497655471055,TRUE
Fibro-NPCs,Hom-NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-NPCs|Hom-NPCs|COL1A2 - SDC4|COLLAGEN,0.0012082623672701634,0.002777081604648989,0,0,0.0015688192373788257,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Fibro-reg NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,2.097181673639447e-4,0.001684418904933079,0,0,0.0014747007375691343,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,Fibro-reg NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,3.575749084110695e-4,0.0017508307841505382,0,0,0.0013932558757394687,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL6A3 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A3 - (ITGA10+ITGB1)|COLLAGEN,2.0142590551334045e-4,0.0015677354570287664,0,0,0.001366309551515426,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL1A2 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A2 - (ITGA10+ITGB1)|COLLAGEN,2.0029944426239732e-4,0.0015139143873383319,0,0,0.0013136149430759345,TRUE
Fibro-NPCs,Hom-NPCs,FN1 - SDC4,FN1,Fibro-NPCs|Hom-NPCs|FN1 - SDC4|FN1,0.0013346078364136343,0.00259269097318491,0,0,0.0012580831367712758,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A1 - SDC4|COLLAGEN,2.0171397934384632e-4,0.0014305120610635603,0,0,0.001228798081719714,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL1A1 - SDC4|COLLAGEN,5.393379794897837e-4,0.0017443827151658571,0,0,0.0012050447356760734,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A2 - SDC4|COLLAGEN,2.3765142154189632e-4,0.001418050405246462,0,0,0.0011803989837045655,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,FN1 - SDC4,FN1,Fibro-NPCs|Hom/Reg-like NPCs|FN1 - SDC4|FN1,0.0030072143021873474,0.004185578579607032,0,0,0.0011783642774196848,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL1A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A1 - (ITGA10+ITGB1)|COLLAGEN,9.13471521805973e-5,0.001260143013751837,0,0,0.0011687958615712397,TRUE
Hom-NPCs,Fibro-NPCs,CD99 - CD99,CD99,Hom-NPCs|Fibro-NPCs|CD99 - CD99|CD99,0.0011973044480126963,0.00232717264598291,0,0,0.0011298681979702138,TRUE
Fibro-NPCs,Hom-NPCs,CD99 - CD99,CD99,Fibro-NPCs|Hom-NPCs|CD99 - CD99|CD99,0.0011973044480126963,0.00232717264598291,0,0,0.0011298681979702138,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL6A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A1 - (ITGA10+ITGB1)|COLLAGEN,1.8205102325476755e-4,0.0012747373333973308,0,0,0.0010926863101425632,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL6A3 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A3 - (ITGA11+ITGB1)|COLLAGEN,1.328116155384037e-4,0.0011943065071004738,0,0,0.0010614948915620701,TRUE
Hom/Reg-like NPCs,Hom-NPCs,FN1 - SDC4,FN1,Hom/Reg-like NPCs|Hom-NPCs|FN1 - SDC4|FN1,0,0.0010523033740492756,NA,0,0.0010523033740492756,TRUE
Fibro-NPCs,Fibro-reg NPCs,POSTN - (ITGAV+ITGB5),PERIOSTIN,Fibro-NPCs|Fibro-reg NPCs|POSTN - (ITGAV+ITGB5)|PERIOSTIN,1.9259898390037525e-4,0.0012227628041345145,0,0,0.0010301638202341392,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL1A2 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A2 - (ITGA11+ITGB1)|COLLAGEN,1.3280432595275425e-4,0.0011615925727906503,0,0,0.0010287882468378961,TRUE
Hom-NPCs,Hom-NPCs,FN1 - SDC4,FN1,Hom-NPCs|Hom-NPCs|FN1 - SDC4|FN1,0,0.0010123587889494922,NA,0,0.0010123587889494922,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL6A3 - SDC4|COLLAGEN,0.0011870512100934606,0.0021946883676772257,0,0,0.001007637157583765,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL1A2 - SDC4|COLLAGEN,0.0011758621362721931,0.002081861160219421,0,0,9.059990239472279e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL1A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A1 - (ITGA11+ITGB1)|COLLAGEN,6.006986105464156e-5,9.642976278607229e-4,0,0,9.042277668060813e-4,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL6A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A1 - (ITGA11+ITGB1)|COLLAGEN,1.1992641135073612e-4,9.695186385922704e-4,0,0,8.495922272415342e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COL1A2 - (ITGA10+ITGB1),COLLAGEN,ECM/Adh-NPCs|Fibro-reg NPCs|COL1A2 - (ITGA10+ITGB1)|COLLAGEN,3.172976865407224e-4,0.0011570710650133046,0,0,8.397733784725822e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom-NPCs|COL1A1 - SDC4|COLLAGEN,2.3440188973470946e-4,0.0010682667873594739,0,0,8.338648976247644e-4,TRUE
Hom-NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Hom-NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,3.4472261574871487e-4,0.001174864398103324,0,0,8.301417823546092e-4,TRUE
Fibro-NPCs,Hom-NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-NPCs|Hom-NPCs|COL6A3 - SDC4|COLLAGEN,5.175515038563555e-4,0.0013258708181009748,0,0,8.083193142446193e-4,TRUE
ECM/Adh-NPCs,Hom/Reg-like NPCs,COMP - SDC4,THBS,ECM/Adh-NPCs|Hom/Reg-like NPCs|COMP - SDC4|THBS,0,8.064918440580645e-4,NA,0,8.064918440580645e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom-NPCs|COL1A2 - SDC4|COLLAGEN,5.160668685002955e-4,0.0012852125864690565,0,0,7.69145717968761e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL6A1 - SDC4|COLLAGEN,0.001073559990758092,0.001791890846209551,0,0,7.183308554514589e-4,TRUE
Fibro-NPCs,Eff-NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-NPCs|Eff-NPCs|COL1A1 - SDC4|COLLAGEN,6.413822209038561e-4,0.0013143834488788,0,0,6.730012279749438e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COL1A2 - (ITGA11+ITGB1),COLLAGEN,ECM/Adh-NPCs|Fibro-reg NPCs|COL1A2 - (ITGA11+ITGB1)|COLLAGEN,2.087887746747569e-4,8.812116259747676e-4,0,0,6.724228513000107e-4,TRUE
Hom-NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,Hom-NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,5.970669319132065e-4,0.001222222117666036,0,0,6.251551857528295e-4,TRUE
Fibro-NPCs,Hom-NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-NPCs|Hom-NPCs|COL6A1 - SDC4|COLLAGEN,4.6755693252362564e-4,0.0010771445637886223,0,0,6.095876312649966e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A1 - (ITGA10+ITGB1)|COLLAGEN,1.1059808969724765e-4,7.081972951661781e-4,0,0,5.975992054689305e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,TNC - SDC4,TENASCIN,Fibro-NPCs|Hom/Reg-like NPCs|TNC - SDC4|TENASCIN,8.42986781443597e-4,0.001412818018857399,0,0,5.698312374138021e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL1A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A1 - (ITGA11+ITGB1)|COLLAGEN,0,5.657294644045449e-4,NA,0,5.657294644045449e-4,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A3 - SDC4|COLLAGEN,1.0053383442161313e-4,6.648758701507322e-4,0,0,5.64342035729119e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A3 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A3 - (ITGA10+ITGB1)|COLLAGEN,1.102256439600527e-4,6.728398456630428e-4,0,0,5.6261420170299e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL1A2 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A2 - (ITGA11+ITGB1)|COLLAGEN,0,5.607120881524496e-4,NA,0,5.607120881524496e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,FN1 - SDC4,FN1,Fibro-reg NPCs|Hom-NPCs|FN1 - SDC4|FN1,8.949538457854735e-4,0.0014547933247554927,0,0,5.598394789700192e-4,TRUE
Fibro-NPCs,Eff-NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-NPCs|Eff-NPCs|COL1A2 - SDC4|COLLAGEN,7.470007400826209e-4,0.0013038053039473678,0,0,5.568045638647469e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A2 - SDC4|COLLAGEN,1.0079235649907603e-4,6.533194793267899e-4,0,0,5.525271228277139e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COL2A1 - (ITGA10+ITGB1),COLLAGEN,ECM/Adh-NPCs|Fibro-reg NPCs|COL2A1 - (ITGA10+ITGB1)|COLLAGEN,4.804468569790371e-4,0.0010195384916200252,0,0,5.390916346409882e-4,TRUE
Hom/Reg-like NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Hom/Reg-like NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,6.90892639266679e-4,0.0012201317153786287,0,0,5.292390761119497e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A1 - SDC4|COLLAGEN,4.541387976031896e-5,5.402727582992903e-4,0,0,4.948588785389713e-4,TRUE
ECM/Adh-NPCs,Hom-NPCs,COMP - SDC4,THBS,ECM/Adh-NPCs|Hom-NPCs|COMP - SDC4|THBS,0,4.804409431311047e-4,NA,0,4.804409431311047e-4,TRUE
Fibro-NPCs,Hom-NPCs,TNC - SDC4,TENASCIN,Fibro-NPCs|Hom-NPCs|TNC - SDC4|TENASCIN,3.6632252033715697e-4,8.453180678656948e-4,0,0,4.789955475285378e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL6A2 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL6A2 - SDC4|COLLAGEN,8.89661168833293e-5,5.658056340297528e-4,0,0,4.768395171464235e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A1 - (ITGA11+ITGB1)|COLLAGEN,7.283465203795534e-5,5.388036314746956e-4,0,0,4.6596897943674024e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COL2A1 - (ITGA11+ITGB1),COLLAGEN,ECM/Adh-NPCs|Fibro-reg NPCs|COL2A1 - (ITGA11+ITGB1)|COLLAGEN,3.1737025505646264e-4,7.75690342107868e-4,0,0,4.583200870514053e-4,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A1 - SDC4|COLLAGEN,9.074097545077566e-5,5.38492625813296e-4,0,0,4.477516503625204e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A3 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A3 - (ITGA11+ITGB1)|COLLAGEN,7.258734215816754e-5,5.117140453349436e-4,0,0,4.391267031767761e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COL2A1 - SDC4,COLLAGEN,ECM/Adh-NPCs|Fibro-reg NPCs|COL2A1 - SDC4|COLLAGEN,0,4.31045295098609e-4,NA,0,4.31045295098609e-4,TRUE
Hom-NPCs,Fibro-reg NPCs,CD99 - CD99,CD99,Hom-NPCs|Fibro-reg NPCs|CD99 - CD99|CD99,0.0010664079071312168,0.0014680501513020079,0,0,4.01642244170791e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,CD99 - CD99,CD99,Fibro-reg NPCs|Hom-NPCs|CD99 - CD99|CD99,0.0010664079071312168,0.0014680501513020079,0,0,4.01642244170791e-4,TRUE
Fibro-NPCs,Eff-NPCs,FN1 - SDC4,FN1,Fibro-NPCs|Eff-NPCs|FN1 - SDC4|FN1,8.203610631249127e-4,0.0012207900231931967,0,0,4.004289600682841e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,TNC - SDC4,TENASCIN,Fibro-reg NPCs|Hom/Reg-like NPCs|TNC - SDC4|TENASCIN,4.2922885086399095e-4,8.295924053795558e-4,0,0,4.003635545155648e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A2 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A2 - (ITGA10+ITGB1)|COLLAGEN,1.5007415323580454e-5,3.995430383273192e-4,0,0,3.8453562300373874e-4,TRUE
Fibro-reg NPCs,Eff-NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Eff-NPCs|COL1A1 - SDC4|COLLAGEN,1.5069287971953193e-4,5.07679325246094e-4,0,0,3.5698644552656204e-4,TRUE
Fibro-NPCs,Fibro-reg NPCs,TNC - SDC4,TENASCIN,Fibro-NPCs|Fibro-reg NPCs|TNC - SDC4|TENASCIN,7.09650420674176e-5,4.213923165019838e-4,0,0,3.5042727443456616e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COMP - CD47,THBS,ECM/Adh-NPCs|Fibro-reg NPCs|COMP - CD47|THBS,0,3.43933362785419e-4,NA,0,3.43933362785419e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL6A1 - SDC4|COLLAGEN,6.523380854994379e-4,9.946904640405186e-4,0,0,3.4235237854108073e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL1A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A1 - (ITGA10+ITGB1)|COLLAGEN,7.753080060111715e-4,0.0011100858767202097,0,0,3.3477787070903815e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,FN1 - SDC4,FN1,Fibro-reg NPCs|Hom/Reg-like NPCs|FN1 - SDC4|FN1,0.002012795351273607,0.002341925660352572,0,0,3.291303090789651e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom-NPCs|COL6A1 - SDC4|COLLAGEN,2.840038351496086e-4,5.98524899803696e-4,0,0,3.145210646540874e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,TNC - SDC4,TENASCIN,Fibro-reg NPCs|Hom-NPCs|TNC - SDC4|TENASCIN,1.8623363337380713e-4,4.972716029055233e-4,0,0,3.110379695317162e-4,TRUE
Fibro-NPCs,Eff-NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-NPCs|Eff-NPCs|COL6A3 - SDC4|COLLAGEN,3.304369522976106e-4,6.37076029735525e-4,0,0,3.066390774379144e-4,TRUE
Hom/Reg-like NPCs,Fibro-reg NPCs,COL2A1 - SDC4,COLLAGEN,Hom/Reg-like NPCs|Fibro-reg NPCs|COL2A1 - SDC4|COLLAGEN,0,3.0067296202756973e-4,NA,0,3.0067296202756973e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,COL6A2 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom-NPCs|COL6A2 - SDC4|COLLAGEN,3.840103735424064e-5,3.370920209568453e-4,0,0,2.9869098360260464e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL6A3 - SDC4|COLLAGEN,6.501540604380943e-4,9.459166400051195e-4,0,0,2.957625795670252e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A2 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A2 - (ITGA11+ITGB1)|COLLAGEN,9.812572863508578e-6,3.0299797016451085e-4,0,0,2.9318539730100227e-4,TRUE
ECM/Adh-NPCs,Hom-NPCs,COMP - CD47,THBS,ECM/Adh-NPCs|Hom-NPCs|COMP - CD47|THBS,0,2.902868334633375e-4,NA,0,2.902868334633375e-4,TRUE
ECM/Adh-NPCs,Hom/Reg-like NPCs,COMP - CD47,THBS,ECM/Adh-NPCs|Hom/Reg-like NPCs|COMP - CD47|THBS,0,2.855661810360667e-4,NA,0,2.855661810360667e-4,TRUE
Fibro-reg NPCs,Hom-NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-reg NPCs|Hom-NPCs|COL6A3 - SDC4|COLLAGEN,2.830435188340367e-4,5.685314283451219e-4,0,0,2.854879095110852e-4,TRUE
Fibro-reg NPCs,Eff-NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-reg NPCs|Eff-NPCs|COL1A2 - SDC4|COLLAGEN,3.2484182617654805e-4,6.068197036118473e-4,0,0,2.819778774352992e-4,TRUE
Eff-NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Eff-NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,1.6594719215206428e-4,4.3378908192129556e-4,0,0,2.678418897692313e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL6A2 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL6A2 - SDC4|COLLAGEN,0,2.611833414582197e-4,NA,0,2.611833414582197e-4,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,COL6A3 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL6A3 - (ITGA11+ITGB1)|COLLAGEN,0,2.603977951605025e-4,NA,0,2.603977951605025e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL1A2 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL1A2 - (ITGA11+ITGB1)|COLLAGEN,0,2.577106509990625e-4,NA,0,2.577106509990625e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COMP - SDC4,THBS,Fibro-reg NPCs|Hom/Reg-like NPCs|COMP - SDC4|THBS,5.352576661443736e-5,2.9868424627042795e-4,0,0,2.451584796559906e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL1A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL1A1 - (ITGA10+ITGB1)|COLLAGEN,1.7394837017019e-4,4.188013051821017e-4,0,0,2.448529350119117e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A1 - SDC4|COLLAGEN,5.510169904679938e-5,2.9940084096966843e-4,0,0,2.4429914192286903e-4,TRUE
ECM/Adh-NPCs,Fibro-reg NPCs,COMP - SDC4,THBS,ECM/Adh-NPCs|Fibro-reg NPCs|COMP - SDC4|THBS,0,2.3886789788211043e-4,NA,0,2.3886789788211043e-4,TRUE
ECM/Adh-NPCs,Eff-NPCs,COMP - SDC4,THBS,ECM/Adh-NPCs|Eff-NPCs|COMP - SDC4|THBS,0,2.3347580166368517e-4,NA,0,2.3347580166368517e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,COL6A3 - SDC4,COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL6A3 - SDC4|COLLAGEN,5.491387852914063e-5,2.8419926067481215e-4,0,0,2.2928538214567152e-4,TRUE
Fibro-reg NPCs,Fibro-reg NPCs,ANGPTL2 - (ITGA5+ITGB1),ANGPTL,Fibro-reg NPCs|Fibro-reg NPCs|ANGPTL2 - (ITGA5+ITGB1)|ANGPTL,2.418614921674858e-5,2.4793318965670135e-4,0,0,2.2374704043995276e-4,TRUE
Fibro-NPCs,Eff-NPCs,COL6A1 - SDC4,COLLAGEN,Fibro-NPCs|Eff-NPCs|COL6A1 - SDC4|COLLAGEN,2.992256030551323e-4,5.196524006857311e-4,0,0,2.2042679763059885e-4,TRUE
Hom/Reg-like NPCs,Hom/Reg-like NPCs,COMP - SDC4,THBS,Hom/Reg-like NPCs|Hom/Reg-like NPCs|COMP - SDC4|THBS,3.5721139922842887e-4,5.712381353202237e-4,0,0,2.1402673609179486e-4,TRUE
Fibro-reg NPCs,Hom/Reg-like NPCs,COL1A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-reg NPCs|Hom/Reg-like NPCs|COL1A1 - (ITGA11+ITGB1)|COLLAGEN,0,2.125424549528456e-4,NA,0,2.125424549528456e-4,TRUE
